Energy,ElecStopPower,NucStopPower,TotalStopPower
1.00E-03,9.89E+01,2.28E+02,3.27E+02
1.50E-03,1.23E+02,2.08E+02,3.31E+02
2.00E-03,1.43E+02,1.91E+02,3.34E+02
2.50E-03,1.61E+02,1.78E+02,3.39E+02
3.00E-03,1.78E+02,1.66E+02,3.44E+02
4.00E-03,2.07E+02,1.48E+02,3.55E+02
5.00E-03,2.33E+02,1.34E+02,3.67E+02
6.00E-03,2.57E+02,1.23E+02,3.79E+02
7.00E-03,2.79E+02,1.13E+02,3.92E+02
8.00E-03,2.99E+02,1.06E+02,4.05E+02
9.00E-03,3.19E+02,9.91E+01,4.18E+02
1.00E-02,3.37E+02,9.34E+01,4.30E+02
1.25E-02,3.80E+02,8.21E+01,4.62E+02
1.50E-02,4.18E+02,7.35E+01,4.92E+02
1.75E-02,4.54E+02,6.67E+01,5.21E+02
2.00E-02,4.87E+02,6.12E+01,5.48E+02
2.25E-02,5.19E+02,5.67E+01,5.75E+02
2.50E-02,5.48E+02,5.28E+01,6.01E+02
2.75E-02,5.77E+02,4.95E+01,6.26E+02
3.00E-02,6.04E+02,4.67E+01,6.51E+02
3.50E-02,6.55E+02,4.19E+01,6.97E+02
4.00E-02,7.03E+02,3.81E+01,7.41E+02
4.50E-02,7.48E+02,3.50E+01,7.83E+02
5.00E-02,7.91E+02,3.24E+01,8.23E+02
5.50E-02,8.31E+02,3.02E+01,8.61E+02
6.00E-02,8.70E+02,2.83E+01,8.98E+02
6.50E-02,9.07E+02,2.67E+01,9.33E+02
7.00E-02,9.42E+02,2.52E+01,9.67E+02
7.50E-02,9.76E+02,2.40E+01,1.00E+03
8.00E-02,1.01E+03,2.28E+01,1.03E+03
8.50E-02,1.04E+03,2.18E+01,1.06E+03
9.00E-02,1.07E+03,2.08E+01,1.09E+03
9.50E-02,1.10E+03,2.00E+01,1.12E+03
1.00E-01,1.13E+03,1.92E+01,1.15E+03
1.25E-01,1.27E+03,1.61E+01,1.28E+03
1.50E-01,1.38E+03,1.40E+01,1.40E+03
1.75E-01,1.49E+03,1.24E+01,1.50E+03
2.00E-01,1.58E+03,1.11E+01,1.59E+03
2.25E-01,1.67E+03,1.01E+01,1.68E+03
2.50E-01,1.74E+03,9.25E+00,1.75E+03
2.75E-01,1.81E+03,8.56E+00,1.82E+03
3.00E-01,1.87E+03,7.97E+00,1.88E+03
3.50E-01,1.98E+03,7.02E+00,1.99E+03
4.00E-01,2.06E+03,6.28E+00,2.07E+03
4.50E-01,2.13E+03,5.69E+00,2.13E+03
5.00E-01,2.18E+03,5.21E+00,2.18E+03
